item_id	variable_definition
1	During this (Purchasing) module implementation project  my interactions with (Consultant William) have increased my understanding of how this module integrates with other modules and/or systems.
2	During this (Purchasing) module implementation project  my interactions with (Consultant William) increased my ability to ask penetrating questions about this module.
3	During this (Purchasing) module implementation project  my interactions with (Consultant William) improved my knowledge of this module.
4	During this (Purchasing) module implementation project  my interactions with (Consultant William) increased my knowledge about this module's training documents for end-users.
5	During this (Purchasing) module implementation project  my interactions with (Consultant William) increased my knowledge about setting up the configuration tables that support the client's business processes.
6	During this (Purchasing) module implementation project  my interactions with (Consultant William) improved my ability to develop test scripts for this module.
8	(Client Alisha) has a vision of what the implementation of (Purchasing) module project is trying to achieve.
10	(Client Alisha) has a clear understanding of goals  tasks  and responsibilities of implementing the (Purchasing) module.
11	(Client Alisha) has the technical competence to absorb the technical knowledge about (Purchasing) module.
12	(Client Alisha) has the managerial competence to absorb the business knowledge about (Purchasing) module.
26	Communication between (Consultant William) and me is: Very easy- very demanding.
27	Communication between (Client Alisha) and me is: Very easy- very demanding.
28	Collaboration between (Consultant William) and me:  Is sought after by me. Is well received  but not sought after by me. Is often avoided by me. Occurs only if I have no other alternative.
29	Collaboration between (Client Alisha) and me: (2) Is sought after by me. Is well received  but not sought after by me. Is often avoided by me. Occurs only if I have no other alternative.
30	Collaboration between (Consultant William) and me: Is sought after by (Consultant William/Client Alisha) Is well received  but not sought after by (Consultant William/Client Alisha) Is usually avoided by (Consultant William/Client Alisha) Occurs only if (Consultant William/Client Alisha) has no other alternative.
31	Collaboration between (Client Alisha) and me: Is sought after by (Consultant William/Client Alisha) Is well received  but not sought after by (Consultant William/Client Alisha) Is usually avoided by (Consultant William/Client Alisha) Occurs only if (Consultant William/Client Alisha) has no other alternative.
32	I enjoy learning business and technical knowledge about (Purchasing) module.
33	The more difficult it is to understand business and technical knowledge about the (Purchasing) module  the more I enjoy learning it. (1)
34	I enjoy learning business and technical knowledge about the (Purchasing) module that are completely new to me.
35	I have to feel that I'm personally benefitting from learning business and technical knowledge about the (Purchasing) module. (1 2)
36	I want to find out how good I really can be at learning business and technical knowledge about the (Purchasing) module.
37	I'm more comfortable when I can set my own goals for learning business and technical knowledge about the (Purchasing) module. (2)
38	I am keenly aware of the income goals I have for myself if I learn business and technical knowledge about the (Purchasing) module. (2)
39	I am strongly motivated by the money I can earn if I learn business and technical knowledge about the (Purchasing) module. (1 2)
40	I am keenly aware of the promotion goals I have for myself if I learn business and technical knowledge about the (Purchasing) module. (2)
41	If I learn business and technical knowledge about the (Purchasing) module  I want other people to find out how good I am. (1)
42	I am strongly motivated by the recognition I can earn from other people for learning business and technical knowledge about the (Purchasing) module. (1)
43	I have to feel that I'm earning something for learning business and technical knowledge about the (Purchasing) module.
44	(Consultant William) has a good command of the language.
45	(Consultant William) typically gets right to the point.
46	(Consultant William) can deal with others effectively.
47	(Consultant William's) written communication is difficult to understand. (Reverse coded)
48	(Consultant William) expresses his/her ideas clearly.
49	(Consultant William's) oral communication is difficult to understand. (Reverse coded)
50	(Consultant William) usually says the right thing at the right time.
51	(Client Alisha) is sensitive to others' needs.
52	(Client Alisha) pays attention to what other people say to him/her.
53	(Client Alisha) is a good listener.
54	(Client Alisha) is easy to talk to.
55	(Client Alisha) usually responds to messages (memos  phone calls  reports  etc.) quickly.
56	(Consultant William) is trustworthy.
58	(Consultant William) is experienced.
60	(Consultant William) is well-trained.
96	I earn respect from others by participating in the Message Boards.
97	I feel that participation improves my status in the profession.
98	I participate in the Message Boards to improve my reputation in the profession.
104	I would feel a loss if the Message Boards were no longer available.
105	I really care about the fate of the Message Boards.
106	I feel a great deal of loyalty to the Message Boards.
111	Data can be shared easily among various internal systems (e.g.  forecasting  production  manufacturing  shipment  finance  accounting  etc).
112	Order changes are automatically reflected in downstream processes or systems (e.g.  inventory  manufacturing resource planning and manufacturing systems).
113	Our systems can easily transmit  integrate and process data from suppliers/vendors and customers.
114	Our systems allow continuous monitoring of order status at various stages in the process (e.g.  manufacturing  shipping).
115	Employees can easily retrieve information from various databases for decision support (e.g.  cost information  reporting tools).
116	All product-related information is available online (e.g.  catalog  product description  detailed specifications  price  discount  etc.).
117	Customers can customize their orders online without phone/fax or face-to-face interactions.
118	A comprehensive Frequently Asked Questions section on our company  oar products/services  contact information  etc. is available on online.
119	Customers can conveniently contact service representatives or seek service online.
120	Customers see personalized content (e.g.  products  prices  order history  order status  etc.) when they log onto our web site.
121	Customer feedback and field incidence reports (e.g.  product failures  defects) are shared with suppliers/vendors in real-time.
122	Process quality information (e.g.  line rejection rates  yields) is shared electronically with relevant trading partners in real-time.
123	Changes (e.g.  order changes  product design changes  etc.) are communicated to trading partners electronically in real-time.
124	Continuously updated inventory information is shared with trading partners online.
125	Continuously updated production schedules and capacity (e.g.  machine downtime  manpower availability) information is shared online with trading partners.
126	Continuously updated product demand information (e.g.  actual and forecasted) is shared online.
127	We provide online communities (e.g.  discussion forms  online chat rooms) to our suppliers/vendors.
128	We make available a comprehensive online Frequently Asked Questions section (e.g.  contact information  glossary  events  etc.) to our trading partners online.
129	We make frequently updated supplier/vendor evaluation reports available online.
130	The method for sharing product roadmap and demand forecast with our suppliers is well defined.
131	Information exchange policies with our suppliers (i.e.  frequency  precision  real-time or delayed  format and channel) are well defined.
132	The standard operating procedures cover all procurement scenarios (e.g.  well-defined rules for large versus small procurement).
133	Supplier/vendor selection criteria are well documented.
134	Supplier/vendor evaluation metrics are well defined.
135	The vendor/supplier quality monitoring process is well defined.
136	Customers generally have one contact point for all service needs.
137	There are only a small number of steps in resolving customer complaints.
138	Customer feedback is quickly disseminated into organizational processes.
139	Our customers feel comfortable regarding security and privacy in electronic commerce with our company.
140	Our customers consider it important to engage in electronic commerce.
141	Our suppliers/vendors have Internet-based systems to engage in electronic business.
142	Our suppliers/vendors feel comfortable (regarding security  privacy  etc.) engaging in electronic business.
143	Our suppliers/vendors are willing to share information electronically with us.
144	Our suppliers/vendors consider it important to engage in electronic business.
145	Our suppliers/vendors consider it important to improve coordination and collaboration with us.
152	Mental Demand: how much mental and perceptual activity was required (e.g. thinking  deciding  calculating  remembering  looking  searching  etc.)? Was the task easy or demanding  simple or complex  exacting or forgiving?
153	Physical Demand: how much physical activity was required (e.g. pushing  pulling  turning  controlling  activating  etc.)? Was the task easy or demanding  slow or brisk  slack or strenuous  restful or laborious?
154	Time Demand: how much time pressure did you feel due to the rate or pace at which the tasks occurred? Was the pace slow and leisurely or rapid and frantic?
155	Performance: how successful do you think you were in accomplishing the goals of the task? How satisfied were you with your performance in accomplishing these goals?
156	Effort: how hard did you have to work (mentally and physically) to accomplish your level of performance?
157	Frustration Level: how insecure  discouraged  irritated  stressed and annoyed versus secure  gratified  content  relaxed and complacent did you feel during the task?
158	Overall  management has encouraged the use of DW.
159	User satisfaction has been a major concern of management.
160	A high-level champion(s) for DW came from IS.
161	A high-level champion(s) for DW came from a functional area(s).
162	Using the system in my job would enable me to accomplish tasks more quickly.
163	Using the system would improve my job performance.
164	Using the system in my job would increase my productivity.
165	Using the system would enhance my effectiveness on the job.
166	Using the system would make it easier to do my job.
167	I would find the system useful in my job.
168	The DW project was adequately funded.
169	The DW project had enough team members to get the work done.
170	The DW project was given enough time for completion.
171	IS and users worked together as a team on the DW project.
172	Users were assigned full-time to parts of the DW project.
173	Users performed hands-on activities (e.g.  data modeling) during the DW project.
174	Using the system in my job would enable me to accomplish tasks more quickly.
175	Using the system would improve my job performance.
176	Using the system in my job would increase my productivity.
177	Using the system would enhance my effectiveness on the job.
178	Using the system would make it easier to do my job.
179	I would find the system useful in my job.
180	Members of the DW team (including consultants) had the right technical skills for DW.
181	Members of the DW team had good interpersonal skills.
182	Use of the system will have no effect on the performance of my job.
183	Use of the system can decrease the time needed for my important job responsibiiities.
184	Use of the system can significantly increase the quality of output on my job
185	Use of the system can increase the effectiveness of performing job tasks.
186	Use can increase the quantity of output for the same amount of effort
187	Considering all tasks  the general extent to which use of the system could assist on the job.
188	Common definitions for key data items were implemented across the source systems.
189	The data sources used for DW were diverse and disparate applications/systems.
190	A significant number of source systems had to be modified to provide data for DW
191	The DW technology that the project team used worked well with technology already in place in the organization.
192	Appropriate technology was available to implement DW
193	Using the system enables me to accomplish tasks more quickly.
194	Using the system improves the quality of the work I do my job.
195	Using the system enhances my effectiveness on the job.
196	Using the system increases my productivity.
197	Any political resistance to DW in the organization was dealt with effectively
198	Change in the organization created by DW was managed effectively.
199	The DW had support from people throughout the organization.
200	The DW project met its critical project deadlines (e.g..  rollout deadline  initial development deadline).
201	The cost of the DW did not exceed its budgeted amount.
202	The DW project provided all of the DW functionality that it was supposed to provide.
203	If I use the system I will increase my effectiveness on the job.
204	I will spend less time on routine job tasks.
205	I will increase the quality of output of my job.
206	I will increase the quantity of output for the same amount of effort.
207	My coworkers will perceive me as competent.
208	I will increase my chances of obtaining a promotion.
209	I will increase my chances of getting a raise.
210	Many technical problems arose during the DW implementation.
211	Numerous technical constraints were imposed on the DW implementation.
212	Learning to operate the system would be easy for me.
213	I would find it easy to get the system to do what I want it to do .
214	My interaction with the system would be clear and understandable.
215	I would find the system to be flexible to interact with.
216	It would be easy for me to become skillful at using the system.
217	I would find the system easy to use.
218	Users (or applications) have more accurate data now from DW than they had from source systems (e.g.  transaction systems).
219	DW provides more comprehensive data to users {or applications) than source systems provided.
220	DW provides more correct data to users (or applications) in respect to source systems.
221	DW has improved the consistency of data to users (or applications) over that of source systems.
222	Using the system takes too much time from my normal duties.
223	Working with the system is so complicated  it is difficult to understand what is going on.
224	Using the system involves too much time doing mechanical operations (e.g.  data input).
225	It takes too long to learn how to use the system to make it worth the effort.
226	My interaction with the system is clear and understandable.
227	I believe that it is easy to get the system to do what I want it to do.
228	Overall  I believe that the system is easy to use.
229	Learning to operate the system is easy for me.
230	DW can flexibly adjust to new demands or conditions.
231	DW effectively integrates data from systems servicing different functional areas.
232	DW is versatile in addressing data needs as they arise.
233	DW effectively integrates data from a variety of data sources within the organization.
234	DW has changed my job significantly.
235	DW has reduced the time it takes to support decision making to the end-user community.
236	DW has reduced the effort it takes to support decision making to the end-user community.
237	People who influence my behavior think that I should use the system.
238	People who are important to me think that I should use the system.
239	I use the system because of the proportion of coworkers who use the system.
240	The senior management of this business has been helpful in the use of the system.
241	My supervisor is very supportive of the use of the system for my job.
242	In general  the organization has supported the use of the system.
243	People in my organization who use the system have more prestige than those who do not.
244	People in my organization who use the system have a high profile.
245	Having the system is a status symbol in my organization.
246	I have control over using the system
247	I have the resources necessary to use the system.
248	I have the knowledge necessary to use the system.
249	Given the resources  opportunities and knowledge it takes to use the system  it would be easy for me to use the system.
250	The system is not compatible with other systems I use.
251	Guidance was available to me in the selection of the system.
252	Specialized instruction concerning the system was available to me.
253	A specific person (or group) is available for assistance with system difficulties.
254	Using the system is compatible with all aspects of my work.
255	I think that using the system fits well with the way I like to work.
256	Using the system fits into my work style.
257	Using the system is a bad/good idea.
258	Using the system is a foolish/wise idea.
259	I dislike/like the idea of using the system.
260	Using the system is unpleasant/pleasant.
261	I find using the system to be enjoyable.
262	The actual process of using the system is pleasant.
263	I have fun using the system.
264	The system makes work more interesting.
265	Working with the system is fun.
266	The system is okay for some jobs  but not the kind of job I want.
267	I like working with the system.
268	I look forward to those aspects of my job that require me to use the system.
269	Using the system is frustrating for me.
270	Once I start working on the system  I find it hard to stop.
271	I get bored quickly when using the system.
272	I would find the system useful in my job.
273	Using the system enables me to accomplish tasks more quickly.
274	Using the system increases my productivity.
275	If I use the system  I will increase my chances of getting a raise.
276	My interaction with the system would be clear and understandable.
277	It would be easy for me to become skillful at using the system.
278	I would find the system easy to use.
279	Learning to operate the system is easy for me.
280	Using the system is a bad/good idea.
281	The system makes work more interesting.
282	Working with the system is fun.
283	I like working with the system.
284	People who influence my behavior think that I should use the system.
285	People who are important to me think that I should use the system.
286	The senior management of this business has been helpful in the use of the system.
287	In general  the organization has supported the use of the system.
288	I have the resources necessary to use the system.
289	I have the knowledge necessary to use the system.
290	The system is not compatible with other systems I use.
291	A specific person (or group) is available for assistance with system difficulties.
292	I could complete a job or task using the system...If there was no one around to tell me what to do as I go.
293	I could complete a job or task using the system...If I could call someone for help if I got stuck.
294	I could complete a job or task using the system...If 1 had a lot of time to complete the job for which the software was provided.
295	I could complete a job or task using the system...If I had just the built-in help facility for assistance.
296	I feel apprehensive about using the system.
297	It scares me to think that I could lose a lot of information using the system by hitting the wrong key.
298	I hesitate to use the system for fear of making mistakes I cannot correct.
299	The system is somewhat intimidating to me.
300	I intend to use the system in the next n months.
301	I predict I would use the system in the next n months.
302	I plan to use the system in the next n months.
303	Assuming I had access to the system  I intend to use it.
304	Given that I had access to the system  I predict that I would use it.
305	Using the system improves my performance in my job.
306	Using the system in my job increases my productivity.
307	Using the system enhances my effectiveness.
308	I find the system to be useful in my job.
309	My interaction with the system is clear and understandable.
310	Interacting with the system does not require a lot of my mental effort.
311	I find the system to be easy to use.
312	I find it easy to get the system to do what I want it to do.
313	People who influence my behavior think that I should use the system.
314	People who are important to me think that I should use the system.
315	If I had a suggestion for improvement to make  it would be difficult for me to get a hearing on it from my manager.
316	When some important matter comes up that concerns me  my manager seeks out my ideas before a decision is made.
317	All in all  I have very little influence in management decisions that affect me in important ways.
318	I get few opportunities  if any  to participate in management decisions that affect significant aspects of my job.
319	Our manager is inclined to accept the opinions of workers in important decisions about job-related matters.
320	I think my level of pay is fair.
321	Overall  the rewards I receive here are quite fair.
332	Time appears to go by very quickly when I am using the Web.
333	Sometimes I lose track of time when I am using the Web.
334	Time flies when I am using the Web.
335	Most times when I get on to the Web  I end up spending more time that I had planned.
336	I often spend more time on the Web than I had intended.
337	While using the Web I am able to block out most other distractions.
338	While using the Web  I am absorbed in what I am doing.
339	While on the Web  I am immersed in the task I am performing.
340	When on the Web  I get distracted by other attentions very easily.
341	While on the Web  my attention does not get diverted very easily.
342	I have fun interacting with the Web.
343	Using the Web provides me with a lot of enjoyment.
344	I enjoy using the Web.
345	Using the Web bores me.
346	When using the Web I feel in control.
347	I feel that I have no control over my interaction with the Web.
348	The Web allows me to control my computer interaction.
349	Using the Web excites my curiosity.
350	Interacting with the Web makes me curious.
351	Using the Web arouses my imagination.
352	Learning to operate the Web is easy for me.
353	I find it easy to get the Web to do what I want it to do.
354	It is easy for me to become skillful at using the Web.
355	I find the Web easy to use.
356	Using the Web enhances my effectiveness in college.
357	Using the Web enhances my productivity.
358	I find the Web useful in my college activities.
359	Using the Web improves my performance in college.
360	If I heard about a new information technology  I would look for ways to experiment with it.
361	In general  I am hesitant to try out new information technologies.
362	Among my peers  I am usually the first to try out new information technologies.
363	I like to experiment with new information technologies.
364	When using the Web I am Spontaneous.
365	When using the Web I am Imaginative.
366	When using the Web I am Flexible.
367	When using the Web I am Creative.
368	When using the Web I am Playful.
369	When using the Web I am Original.
370	When using the Web I am Inventive.
371	I plan to use the Web in the future.
372	I intend to continue using the Web in the future.
373	I expect my use of the Web to continue in the future.
374	I could complete the job using the software package if there was no one around to tell me what to do as I go.
375	I could complete the job using the software package if I had never used a package like it before.
376	I could complete the job using the software package if I had only the software manuals for reference.
377	I could complete the job using the software package if I had seen someone else using it before trying it myself.
378	I could complete the job using the software package if I could call someone for help if I got stuck.
379	I could complete the job using the software package if someone else had helped me get started.
380	I could complete the job using the software package I had a lot of time to complete the job for which the software was provided.
381	I could complete the job using the software package if I had just the built-in help facility for assistance.
382	I could complete the job using the software package if someone showed me how to do it first.
383	I could complete the job using the software package if I had used similar packages like this one before to do the job.
384	I feel that the number of requests  problems  or complaints I deal with is more than expected.
385	I feel that the amount of work I do interferes with how well it is done.
386	I feel busy of rushed.
387	I feel pressured.
388	I feel certain about how much authority I have.
389	Clear  planned goals and objectives exist for my job.
390	I know that I have divided my time properly.
391	I know what my responsibilities are.
