variable_id	variable_definition
14	The communication of knowledge from a source so that it is learned and applied by a recipient.
15	The ability for a recipient to recognize the value of external information  assimilate it  and apply it.
16	The extent to which a source and a recipient dyad's work values  norms  philosophy  problem-solving approaches  and prior work experience are similar.
17	An emotionally laborious  distant relationship between a source and a recipient.
18	Deriving satisfaction that lies in the content of the activity itself.
19	Deriving satisfaction that is independent of the content of the activity itself.
20	The ability for a source to express ideas clearly  have a good command of the language  and be easy to understand.
21	The ability for a recipient to listen  respond to messages quickly  and be attentive.
22	An attitude a recipient has about a source along multiple dimensions  including trustworthiness and expertise.
37	The number of months an individual has been a member of the professional association  representing how much experience he or she has in the association's legal specialty.
38	A duty or obligation to engage in future action.
40	The extent to which the content actually addressed and answered the posted questions.
41	The total number of response messages (messages that addressed a question) posted by each individual.
42	The ease with which data in different systems and organizational functions can be shared  the ability to update information to reflect changes in the downstream processes  and the visibility of customer orders throughout the organization.
43	The capability of providing product information  product customization  website personalization  service  and order management online.
44	The capabilities of information exchange related to quality.
45	The capabilities of information exchange related to resource availability.
46	The capabilities of information exchange related to relationship management.
47	The extent to which formal supplier selection policies  evaluation metrics  and monitoring processes are institutionalized.
48	How well the process facilitates customer interaction  complaint resolution  and the dissemination of customer feedback.
49	A firm's perception of the beliefs and motivation of customers toward net-enabled business.
50	A firm's perception of the beliefs and motivation of suppliers toward net-enabled business.
51	The agent uses logical arguments and factual evidence to persuade the target that a proposal or request is viable and likely to result in the attainment of task objectives.
52	The agent seeks target participation in planning a strategy  activity  or change for which target support and assistance are desired  or is willing to modify a proposal to deal with target concerns and suggestions.
53	The agent uses praise  flattery  friendly behavior  or helpful behavior to get the target in a good mood to think favorably of him or her when asking for something.
54	The agent appeals to target feelings of loyalty and friendship toward him or her when asking for something.
55	The agent offers an exchange of favors  indicates willingness to reciprocate at a later time  or promises a share of the benefits if the target helps accomplish a task.
56	The agent seeks the aid of others to persuade the target to do something  or uses the support of others as a reason for the target to agree also.
57	The agent uses demands  threats  frequent checking  or persistent reminders to influence the target to do what he or she wants.
60	Task complexity was manipulated by increasing  the size and the homogeneity of the solution set and by creating a scenario that was not dominated by a few superior  solutions. Thus   for the low task complexity intervention  home  attributes were defined such that five homes met  the criteria. For the high task complexity intervention    necessary  and  desirable  attributes  were included in the task scenario. Once the  necessary criteria were met. the solution set still  included approximately 200 homes. This task was  constructed such that there was a  best five  set of  solutions (determined a priori) across the 200-  home subset. The best solutions met all of the  criteria (i.e.  both necessary and desired) and  were within $10 000 of the lowest priced home in  the subset.
61	Instrument conceptualizes subjective mental workload as six dimensions: mental demand  physical demand  time constraints  performance  effort  and level of frustration.
62	A person's ability to mentally manipulate objects within space. This ability predicts  the ease with which users are able to construct  a mental model of the information and is particularly valuable  when panning or scanning across a field of data. The spatial orientation  instrument measures the subject's response to 80  pictures by asking the subject to assess the  similarity between spatial representations.
63	The number of matches the user had to the  best five  answers.  It was calculated as the percentage of optimal (i.e.  number of  best five  solutions identified by the user/5).
64	Decision time was calculated as the number of minutes required to complete each task using a given user interface.
72	Widespread sponsorship for a project across the management team.
73	A person within the organization who actively supports and promotes the project.
74	The degree to which a person believes that using a particular system would enhance his or her job performance.
75	The money  time  and people required to successfully implement a data warehouse.
