variable_id	variable_name
14	Knowledge transfer
15	Absorptive capacity
16	Shared understanding
17	Arduous relationship
18	Intrinsic motivation
19	Extrinsic motivation
20	Communication encoding competence
21	Communication decoding competence
22	Source credibility
34	Reputation
36	Self-rated expertise
37	Tenure in the field
38	Commitment
40	Helpfulness of contribution
41	Volume of contribution
42	System integration
43	Customer-side online information capabilities
44	Quality
45	Resource availability
46	Relationship management
47	Supplier process alignment
48	Customer process alignment
49	Customer readiness
50	Supplier readiness
51	Rational persuasion
52	Consultation
53	Ingratiation
54	Personal appeals
55	Exchange
56	Coalition tactics
57	Pressure
60	Task complexity
61	Subjective mental workload
62	Spatial ability
63	Decision accuracy
64	Decision time
72	Management Support
73	Champion
74	Perceived usefulness
75	Resources
76	User Participation
77	Extrinsic motivation
78	Team Skills
79	Job-fit
80	Source Systems
81	Development Technology
82	Relative advantage
83	Organizational Implementation Success
84	Project Implementation Success
85	Outcome expectations
86	Technical Implementation Success
87	Perceived ease of use
88	Data Quality
89	Complexity
90	Ease of use
91	System Quality
92	Perceived Net Benefits
93	Subjective norm
94	Social factors
95	Image
96	Perceived behavioral control
97	Facilitating conditions
98	Compatibility
99	Attitude toward behavior
100	Intrinsic motivation
101	Affect toward use
102	Affect
103	Performance expectancy
104	Effort expectancy
105	Attitude toward using technology
106	Social influence
107	Facilitating conditions
108	Self-efficacy
109	Anxiety
110	Behavioral intention to use the system
111	Self efficacy
112	Satisfaction
113	Performance
117	Intention to Use
118	Perceived usefulness
119	Perceived ease of use
120	Subjective norm
121	Gender
122	Educational level
123	Annual individual income
124	Position
125	Prior computer experience
126	Use
127	Autonomy
128	Fairness of rewards
129	Negative affectivity
130	Temporal dissociation
131	Focused immersion
132	Heightened enjoyment
133	Control
134	Curiosity
135	Perceived ease of use
136	Perceived usefulness
137	Personal innovativeness in information technology
138	Playfulness
139	Behavioral intention to use
140	Self efficacy
142	Perceived workload
143	Role ambiguity
144	Role conflict
145	Turnover Intention
146	Work exhaustion
147	Relative advantage
148	Trialability
149	Ease of use
150	Compatibility
151	Result demonstrability
